TimeUs,SeqID,PosX,PosY,PosZ,Valid
154703,0,-0.046720,1.452486,2.051264,1
175486,1,-0.037164,1.452323,2.051268,1
198569,2,-0.032481,1.453394,2.053085,1
214723,3,-0.027180,1.451538,2.051355,1
312845,4,-0.020979,1.451519,2.051642,1
414134,5,-0.007490,1.454471,2.054453,1
434695,6,0.032566,1.453138,2.052495,1
456093,7,0.066462,1.453800,2.055868,1
474259,8,0.087033,1.448700,2.050937,1
495038,9,0.095966,1.450960,2.053194,1
517942,10,0.100203,1.448692,2.050634,1
535373,11,0.111347,1.448911,2.052983,1
557054,12,0.120497,1.449080,2.053941,1
579443,13,0.125747,1.447399,2.053332,1
599211,14,0.135430,1.447210,2.053148,1
622302,15,0.140379,1.451217,2.059302,1
641306,16,0.150070,1.446226,2.054137,1
661733,17,0.159333,1.438855,2.045038,1
680074,18,0.169753,1.445600,2.056118,1
701874,19,0.179742,1.444169,2.055885,1
720968,20,0.188428,1.437387,2.047555,1
743031,21,0.199372,1.439889,2.052911,1
762159,22,0.209075,1.435885,2.049950,1
781937,23,0.217802,1.436596,2.051889,1
802148,24,0.227745,1.433021,2.049787,1
823437,25,0.239087,1.434589,2.053254,1
843611,26,0.247514,1.431486,2.051385,1
863239,27,0.256326,1.424825,2.044954,1
883712,28,0.268160,1.431977,2.057588,1
905163,29,0.276374,1.427285,2.052547,1
927629,30,0.286022,1.425175,2.051683,1
945644,31,0.296065,1.421936,2.050426,1
967826,32,0.305520,1.422168,2.053695,1
988056,33,0.314721,1.417882,2.050172,1
1010555,34,0.319756,1.415298,2.047266,1
1029757,35,0.329978,1.418867,2.055426,1
1048765,36,0.338784,1.415476,2.053071,1
1071417,37,0.348609,1.412166,2.051796,1
1092171,38,0.357786,1.409248,2.050918,1
1114025,39,0.366920,1.406100,2.049560,1
1132004,40,0.376102,1.402129,2.047580,1
1154762,41,0.386333,1.402888,2.052102,1
1175972,42,0.394679,1.398805,2.049101,1
1195542,43,0.399903,1.396599,2.048792,1
1216103,44,0.409855,1.397215,2.051936,1
1238275,45,0.419136,1.394603,2.051981,1
1257641,46,0.429032,1.393961,2.053586,1
1278724,47,0.437277,1.389003,2.050459,1
1298595,48,0.446341,1.386237,2.051027,1
1319307,49,0.455634,1.383314,2.050265,1
1340108,50,0.469705,1.378311,2.049778,1
1361081,51,0.474880,1.378156,2.051476,1
1380642,52,0.483995,1.374908,2.051048,1
1400652,53,0.492583,1.370546,2.049003,1
1421856,54,0.502228,1.368001,2.049362,1
1444309,55,0.510478,1.362336,2.045126,1
1462577,56,0.521355,1.364098,2.053262,1
1482821,57,0.531422,1.361374,2.054730,1
1505632,58,0.537698,1.352216,2.044397,1
1527699,59,0.543012,1.352701,2.048661,1
1547475,60,0.551268,1.350164,2.049106,1
1567795,61,0.561321,1.346912,2.049685,1
1589173,62,0.566013,1.343570,2.046749,1
1612483,63,0.573155,1.337046,2.042555,1
1629065,64,0.578617,1.339347,2.050145,1
1648655,65,0.590930,1.330646,2.043432,1
1670139,66,0.599986,1.327664,2.044717,1
1693248,67,0.605732,1.327410,2.047716,1
1712944,68,0.614239,1.322823,2.046385,1
1732409,69,0.622867,1.317693,2.044355,1
1753071,70,0.628599,1.317998,2.048262,1
1778167,71,0.636214,1.312782,2.045963,1
1795403,72,0.644915,1.307528,2.044866,1
1816494,73,0.653968,1.304503,2.045416,1
1837392,74,0.662394,1.299703,2.045075,1
1857392,75,0.671042,1.295234,2.043890,1
1877656,76,0.679362,1.291935,2.045220,1
1898239,77,0.688087,1.286745,2.044531,1
1918214,78,0.696452,1.281807,2.043112,1
1938284,79,0.705299,1.277948,2.044588,1
1959904,80,0.713189,1.272142,2.042435,1
1983257,81,0.723619,1.270495,2.047396,1
2001731,82,0.725639,1.264296,2.041567,1
2024081,83,0.731921,1.266163,2.046799,1
2043501,84,0.739038,1.258012,2.041979,1
2064887,85,0.743869,1.255776,2.042678,1
2084227,86,0.751555,1.251566,2.042658,1
2106711,87,0.759378,1.244780,2.040388,1
2125151,88,0.763917,1.243496,2.041361,1
2145806,89,0.773014,1.238832,2.043319,1
2165980,90,0.778862,1.231596,2.037223,1
2188118,91,0.788484,1.228818,2.041538,1
2205864,92,0.796106,1.222585,2.040302,1
2227622,93,0.804390,1.218868,2.041641,1
2248559,94,0.813125,1.213639,2.041570,1
2269873,95,0.820631,1.207387,2.040021,1
2287951,96,0.828939,1.203012,2.041300,1
2308726,97,0.836199,1.197378,2.040256,1
2330569,98,0.843977,1.191891,2.040139,1
2351759,99,0.851471,1.184737,2.037595,1
2370574,100,0.860334,1.181034,2.040648,1
2391270,101,0.868257,1.174472,2.039817,1
2411607,102,0.874912,1.167687,2.036926,1
2431975,103,0.883864,1.163431,2.039678,1
2453666,104,0.891350,1.157806,2.039636,1
2473469,105,0.899161,1.150990,2.038836,1
2494128,106,0.906129,1.144859,2.038507,1
2516992,107,0.909683,1.141093,2.037173,1
2536102,108,0.917172,1.133790,2.036055,1
2555379,109,0.926029,1.130204,2.040664,1
2581124,110,0.933440,1.123040,2.038500,1
2601054,111,0.935139,1.117735,2.034635,1
2618645,112,0.946123,1.115967,2.042896,1
2639192,113,0.951272,1.105476,2.036413,1
2660389,114,0.958736,1.099699,2.036967,1
2680702,115,0.963342,1.098279,2.039766,1
2701915,116,0.971129,1.091288,2.039700,1
2720356,117,0.977460,1.084116,2.038163,1
2742682,118,0.985501,1.079803,2.040536,1
2765045,119,0.990619,1.069248,2.034288,1
2783991,120,0.995821,1.067426,2.037708,1
2804438,121,1.002101,1.060248,2.035785,1
2825905,122,1.010296,1.054965,2.037817,1
2846117,123,1.018629,1.048067,2.039431,1
2866071,124,1.025429,1.042266,2.040188,1
2887013,125,1.027927,1.038517,2.038762,1
2908683,126,1.034037,1.030075,2.036057,1
2928115,127,1.040092,1.022045,2.034477,1
2948705,128,1.048937,1.017035,2.038735,1
2968555,129,1.055010,1.009127,2.036759,1
2990572,130,1.061833,1.002002,2.036602,1
3011357,131,1.068309,0.994892,2.036326,1
3031478,132,1.074146,0.986527,2.034367,1
3052668,133,1.076854,0.983820,2.033423,1
3074434,134,1.084592,0.975934,2.035474,1
3094914,135,1.091209,0.970037,2.036883,1
3114446,136,1.099192,0.963222,2.038847,1
3135567,137,1.103150,0.954128,2.035099,1
3155675,138,1.110220,0.947012,2.035828,1
3178511,139,1.119142,0.941205,2.040299,1
3198273,140,1.122744,0.931972,2.036315,1
3217090,141,1.129865,0.925938,2.038333,1
3237618,142,1.138698,0.919098,2.042222,1
3258799,143,1.143359,0.904754,2.035022,1
3279442,144,1.146420,0.900832,2.035652,1
3300109,145,1.155145,0.895251,2.041153,1
3320914,146,1.159909,0.887013,2.038445,1
3341776,147,1.165899,0.879361,2.039168,1
3361727,148,1.173084,0.872419,2.041500,1
3385197,149,1.178069,0.863613,2.040134,1
3403463,150,1.180281,0.859197,2.039319,1
3423997,151,1.189266,0.847189,2.039015,1
3444070,152,1.191308,0.843199,2.038601,1
3464683,153,1.200564,0.831490,2.040206,1
3485004,154,1.204170,0.822494,2.037890,1
3506686,155,1.209349,0.813764,2.036986,1
3527707,156,1.214206,0.811291,2.040959,1
3548640,157,1.218515,0.802511,2.039031,1
3568276,158,1.222452,0.792975,2.036857,1
3590411,159,1.228848,0.785338,2.038958,1
3611495,160,1.233559,0.776702,2.038764,1
3629747,161,1.239095,0.769198,2.040130,1
3650001,162,1.245396,0.760187,2.041444,1
3671721,163,1.249910,0.752885,2.040607,1
3692529,164,1.255401,0.744921,2.043428,1
3712160,165,1.262008,0.736845,2.044310,1
3731432,166,1.261462,0.725266,2.036642,1
3752803,167,1.268919,0.717794,2.040488,1
3774273,168,1.273098,0.709649,2.039467,1
3794437,169,1.274828,0.699685,2.035760,1
3816523,170,1.283567,0.693259,2.041316,1
3836415,171,1.289679,0.686143,2.044056,1
3857617,172,1.291059,0.674889,2.038091,1
3877336,173,1.299496,0.668490,2.045308,1
3896959,174,1.301851,0.657964,2.040444,1
3919326,175,1.304428,0.648019,2.037091,1
3940259,176,1.309442,0.639732,2.038267,1
3959819,177,1.313794,0.631758,2.040171,1
3982071,178,1.318573,0.622648,2.039067,1
4002020,179,1.324615,0.614066,2.042030,1
4024893,180,1.326094,0.610116,2.041657,1
4045628,181,1.331383,0.607185,2.046568,1
