TimeUS,u_x,u_y,u_z
184200,0.001764,-0.001563,-0.000001
184565,0.001764,-0.001563,-0.000001
204207,0.001998,-0.003087,-0.000410
224254,0.001998,-0.003087,-0.000410
244201,0.001597,-0.004233,-0.000063
264191,0.001578,-0.003425,0.000007
284204,0.001630,-0.002136,0.000033
304211,0.001695,-0.001053,0.000033
324216,0.001747,-0.000785,0.000002
344257,0.001763,-0.000660,-0.000006
364206,0.001781,-0.000472,-0.000012
384240,0.001803,-0.000162,-0.000016
384259,0.001803,-0.000162,-0.000016
404270,0.001828,0.000254,-0.000018
424334,0.002038,-0.000636,-0.000214
444236,0.002038,-0.000636,-0.000214
464207,0.002037,-0.005160,-0.000271
484204,0.001859,-0.007161,-0.000154
504259,0.001816,-0.008643,-0.000149
524234,0.001709,-0.009610,-0.000056
544209,0.001643,-0.010481,-0.000063
564371,0.001602,-0.011163,-0.000096
584211,0.001524,-0.011554,-0.000100
584226,0.001524,-0.011554,-0.000100
604258,0.001524,-0.011554,-0.000100
624230,0.001547,-0.011992,-0.000268
644203,0.001471,-0.012120,-0.000246
664172,0.001471,-0.012120,-0.000246
684199,0.001219,-0.012380,-0.000068
704195,0.001192,-0.012493,-0.000128
724199,0.001192,-0.012493,-0.000128
744211,0.000952,-0.012666,0.000026
764284,0.000952,-0.012666,0.000026
784278,0.000757,-0.012814,0.000095
784300,0.000757,-0.012814,0.000095
804207,0.000642,-0.012867,0.000144
824191,0.000605,-0.012929,0.000105
844200,0.000528,-0.012952,0.000113
864194,0.000350,-0.012959,0.000248
884193,0.000350,-0.012959,0.000248
904229,0.000374,-0.013003,0.000099
924234,0.000319,-0.013154,0.000003
944213,0.000254,-0.013134,0.000021
964233,0.000159,-0.013143,0.000057
984234,0.000111,-0.013106,0.000027
984262,0.000111,-0.013106,0.000027
1004253,0.000015,-0.013057,0.000067
1024245,0.000015,-0.013057,0.000067
1044221,-0.000082,-0.012891,0.000151
1064210,-0.000104,-0.012681,0.000046
1084208,-0.000159,-0.012568,0.000049
1104215,-0.000228,-0.012460,0.000066
1124220,-0.000228,-0.012460,0.000066
1144209,-0.000419,-0.012263,0.000162
1164223,-0.000462,-0.012177,0.000133
1184196,-0.000536,-0.012073,0.000158
1184208,-0.000536,-0.012073,0.000158
1204264,-0.000604,-0.011923,0.000181
1224224,-0.000619,-0.011803,0.000147
1244195,-0.000619,-0.011803,0.000147
1264204,-0.000641,-0.011594,0.000065
1284332,-0.000689,-0.011496,0.000073
1304252,-0.000689,-0.011496,0.000073
1324202,-0.000802,-0.011337,0.000078
1344216,-0.000895,-0.011343,0.000091
1364193,-0.000940,-0.011271,0.000074
1384207,-0.000995,-0.011215,0.000067
1384220,-0.000995,-0.011215,0.000067
1404211,-0.001074,-0.011156,0.000091
1424218,-0.001142,-0.011103,0.000104
1444266,-0.001205,-0.011086,0.000114
1464251,-0.001232,-0.011022,0.000057
1484186,-0.001259,-0.010984,-0.000011
1504259,-0.001295,-0.010979,-0.000057
1524265,-0.001411,-0.010901,0.000049
1544237,-0.001461,-0.010756,0.000076
1564228,-0.001503,-0.010623,0.000091
1584215,-0.001547,-0.010525,0.000094
1584229,-0.001547,-0.010525,0.000094
1604208,-0.001591,-0.010365,0.000139
1624218,-0.001679,-0.010177,0.000239
1644210,-0.001679,-0.010177,0.000239
1664216,-0.001777,-0.009923,0.000271
1684234,-0.001853,-0.009849,0.000304
1704214,-0.001867,-0.009720,0.000281
1724207,-0.001867,-0.009720,0.000281
1744220,-0.001973,-0.009545,0.000307
1764219,-0.001976,-0.009439,0.000266
1784207,-0.001997,-0.009303,0.000263
1784222,-0.001997,-0.009303,0.000263
1804233,-0.002057,-0.009223,0.000275
1824210,-0.002103,-0.009163,0.000273
1844218,-0.002163,-0.009113,0.000273
1864198,-0.002231,-0.009081,0.000288
1884197,-0.002288,-0.009057,0.000276
1904210,-0.002361,-0.009044,0.000274
1924194,-0.002445,-0.009038,0.000289
1944198,-0.002520,-0.009045,0.000277
1964294,-0.002612,-0.009039,0.000295
1984190,-0.002647,-0.009048,0.000231
1984199,-0.002647,-0.009048,0.000231
2004246,-0.002720,-0.008976,0.000263
2024209,-0.002720,-0.008976,0.000263
2044191,-0.002805,-0.008800,0.000296
2064222,-0.002833,-0.008720,0.000302
2084209,-0.002830,-0.008600,0.000295
2104301,-0.002830,-0.008600,0.000295
2124212,-0.002875,-0.008408,0.000306
2144209,-0.002876,-0.008296,0.000306
2164215,-0.002887,-0.008223,0.000273
2184238,-0.002887,-0.008223,0.000273
2184264,-0.002887,-0.008223,0.000273
2204198,-0.002972,-0.008092,0.000311
2224230,-0.003036,-0.008072,0.000310
2244232,-0.003079,-0.008062,0.000285
2264318,-0.003131,-0.008071,0.000261
2284214,-0.003202,-0.008076,0.000261
2304208,-0.003270,-0.008106,0.000239
2324203,-0.003347,-0.008127,0.000234
2344212,-0.003422,-0.008142,0.000227
2364207,-0.003523,-0.008153,0.000257
2384214,-0.003599,-0.008192,0.000232
2384232,-0.003599,-0.008192,0.000232
2404206,-0.003692,-0.008230,0.000221
2424273,-0.003801,-0.008251,0.000251
2444208,-0.003884,-0.008291,0.000232
2464209,-0.003960,-0.008318,0.000213
2484206,-0.004054,-0.008349,0.000207
2504205,-0.004149,-0.008365,0.000204
2524202,-0.004198,-0.008306,0.000218
2544220,-0.004279,-0.008267,0.000242
2564195,-0.004327,-0.008264,0.000191
2584212,-0.004373,-0.008234,0.000178
2584226,-0.004373,-0.008234,0.000178
2604209,-0.004415,-0.008127,0.000222
2624192,-0.004412,-0.008113,0.000134
2644195,-0.004487,-0.008071,0.000154
2664239,-0.004552,-0.008037,0.000160
2684207,-0.004548,-0.007972,0.000121
2704225,-0.004565,-0.007926,0.000089
2724242,-0.004565,-0.007926,0.000089
2744200,-0.004631,-0.007864,0.000042
2764223,-0.004657,-0.007835,0.000012
2784184,-0.004679,-0.007755,0.000024
2784191,-0.004679,-0.007755,0.000024
2804238,-0.004710,-0.007695,0.000032
2824237,-0.004759,-0.007636,0.000064
2844230,-0.004759,-0.007636,0.000064
2864200,-0.004837,-0.007597,0.000034
2884370,-0.004881,-0.007597,0.000000
2904257,-0.004881,-0.007597,0.000000
2924481,-0.004924,-0.007465,0.000025
2944225,-0.004996,-0.007407,0.000074
2964214,-0.005044,-0.007395,0.000050
2984230,-0.005044,-0.007395,0.000050
2984249,-0.005044,-0.007395,0.000050
3004195,-0.005188,-0.007367,0.000066
3024199,-0.005263,-0.007355,0.000075
3044207,-0.005361,-0.007338,0.000110
3064206,-0.005386,-0.007264,0.000151
3084197,-0.005428,-0.007220,0.000151
3104229,-0.005458,-0.007188,0.000128
3124201,-0.005498,-0.007193,0.000078
3144203,-0.005570,-0.007160,0.000092
3164192,-0.005644,-0.007147,0.000090
3184199,-0.005685,-0.007168,0.000020
3184214,-0.005685,-0.007168,0.000020
3204210,-0.005765,-0.007149,0.000023
3224196,-0.005832,-0.007154,-0.000006
3244202,-0.005893,-0.007198,-0.000086
3264207,-0.006056,-0.007209,-0.000046
3284197,-0.006146,-0.007171,-0.000022
3304189,-0.006202,-0.007177,-0.000084
3324201,-0.006267,-0.007161,-0.000094
3344217,-0.006331,-0.007145,-0.000113
3364203,-0.006387,-0.007150,-0.000161
3384197,-0.006439,-0.007138,-0.000198
3384207,-0.006439,-0.007138,-0.000198
3404194,-0.006445,-0.007055,-0.000194
3424187,-0.006529,-0.007035,-0.000185
3444189,-0.006552,-0.006962,-0.000170
3464372,-0.006585,-0.006906,-0.000161
3484214,-0.006675,-0.006903,-0.000174
3504254,-0.006675,-0.006903,-0.000174
3524210,-0.006877,-0.006830,-0.000117
3544229,-0.006877,-0.006830,-0.000117
3564201,-0.006909,-0.006718,-0.000138
3584487,-0.006967,-0.006645,-0.000100
3584506,-0.006967,-0.006645,-0.000100
3604287,-0.006967,-0.006645,-0.000100
3624209,-0.007055,-0.006531,-0.000093
3644194,-0.007108,-0.006493,-0.000108
3664192,-0.007174,-0.006476,-0.000139
3684196,-0.007217,-0.006444,-0.000151
3704197,-0.007254,-0.006419,-0.000201
3724196,-0.007297,-0.006421,-0.000252
3744198,-0.007397,-0.006340,-0.000178
3764195,-0.007469,-0.006303,-0.000173
3784205,-0.007526,-0.006254,-0.000151
3784218,-0.007526,-0.006254,-0.000151
3804222,-0.007605,-0.006165,-0.000077
3824195,-0.007605,-0.006165,-0.000077
3844193,-0.007653,-0.006140,-0.000155
3864205,-0.007712,-0.006082,-0.000111
3884208,-0.007712,-0.006082,-0.000111
3904198,-0.007803,-0.006058,-0.000164
3924210,-0.007803,-0.006058,-0.000164
3944198,-0.007925,-0.005940,-0.000061
3964193,-0.007971,-0.005894,-0.000058
3984205,-0.008010,-0.005850,-0.000039
3984219,-0.008010,-0.005850,-0.000039
4004254,-0.008049,-0.005837,-0.000067
4024210,-0.008088,-0.005809,-0.000086
4044219,-0.008037,-0.005738,-0.000098
4064459,-0.008037,-0.005738,-0.000098
4084232,-0.007859,-0.005581,-0.000132
4104252,-0.007823,-0.005500,-0.000124
4124242,-0.007818,-0.005425,-0.000076
4144209,-0.007750,-0.005329,-0.000060
4164219,-0.007687,-0.005210,-0.000010
4184264,-0.007685,-0.005104,0.000104
4184299,-0.007685,-0.005104,0.000104
4204505,-0.007687,-0.005025,0.000185
4224631,-0.007712,-0.004932,0.000247
4244309,-0.007712,-0.004932,0.000247
4264237,-0.007726,-0.004890,0.000255
4284210,-0.007812,-0.004805,0.000267
4304212,-0.007879,-0.004740,0.000310
4324195,-0.007940,-0.004659,0.000359
4344201,-0.008068,-0.004642,0.000341
4364219,-0.008068,-0.004642,0.000341
4384206,-0.008232,-0.004516,0.000347
4384220,-0.008232,-0.004516,0.000347
4404206,-0.008268,-0.004475,0.000297
4424212,-0.008299,-0.004465,0.000218
4444220,-0.008326,-0.004471,0.000114
4464210,-0.008342,-0.004477,0.000024
4484259,-0.008381,-0.004490,-0.000062
4504250,-0.008408,-0.004460,-0.000111
4524235,-0.008408,-0.004460,-0.000111
4544201,-0.008395,-0.004360,-0.000184
4564245,-0.008315,-0.004269,-0.000180
4584239,-0.008254,-0.004178,-0.000179
4584261,-0.008254,-0.004178,-0.000179
4604284,-0.008254,-0.004178,-0.000179
4624250,-0.008191,-0.004089,-0.000179
4644208,-0.008132,-0.003973,-0.000208
4664209,-0.008132,-0.003973,-0.000208
4684235,-0.008078,-0.003867,-0.000168
4704215,-0.008001,-0.003697,-0.000125
4724223,-0.007941,-0.003580,-0.000059
4744233,-0.007848,-0.003477,-0.000015
4765241,-0.007848,-0.003477,-0.000015
4784229,-0.007674,-0.003385,-0.000034
4784254,-0.007674,-0.003385,-0.000034
4804463,-0.007282,-0.003196,-0.000036
4824208,-0.007131,-0.003106,-0.000017
4844213,-0.007088,-0.003046,-0.000009
4864213,-0.007069,-0.003003,-0.000023
4884637,-0.007077,-0.002992,-0.000069
4904212,-0.007126,-0.002904,0.000019
4924228,-0.007169,-0.002894,-0.000018
4944212,-0.007209,-0.002913,-0.000097
4964228,-0.007209,-0.002913,-0.000097
4984213,-0.007181,-0.002876,-0.000157
4984234,-0.007181,-0.002876,-0.000157
5004240,-0.007060,-0.002844,-0.000184
5024225,-0.006783,-0.002666,-0.000092
5044204,-0.006639,-0.002577,-0.000050
5064231,-0.006452,-0.002507,-0.000048
5084249,-0.006353,-0.002485,-0.000094
5104461,-0.006353,-0.002485,-0.000094
5124208,-0.006256,-0.002308,0.000073
5144440,-0.006245,-0.002347,-0.000050
5164227,-0.006287,-0.002301,-0.000027
5184389,-0.006368,-0.002233,0.000034
5184410,-0.006368,-0.002233,0.000034
5204199,-0.006402,-0.002201,0.000044
5224200,-0.006548,-0.002204,0.000026
5244201,-0.006707,-0.002190,0.000016
5264196,-0.006869,-0.002137,0.000086
5284222,-0.007041,-0.002160,0.000026
5304218,-0.007041,-0.002160,0.000026
5324198,-0.007414,-0.002122,0.000018
5344196,-0.007603,-0.002102,0.000022
5364198,-0.007787,-0.002165,-0.000082
5384229,-0.007966,-0.002109,-0.000022
5384246,-0.007966,-0.002109,-0.000022
5404196,-0.008081,-0.002015,0.000072
5424194,-0.008171,-0.001949,0.000140
5444195,-0.008332,-0.001823,0.000310
5464198,-0.008499,-0.001730,0.000425
5484198,-0.008669,-0.001745,0.000368
5504200,-0.008820,-0.001771,0.000286
5524206,-0.008897,-0.001702,0.000318
5544203,-0.008953,-0.001717,0.000226
5564198,-0.009015,-0.001679,0.000223
5584619,-0.009100,-0.001719,0.000099
5584651,-0.009100,-0.001719,0.000099
5604211,-0.009106,-0.001721,0.000039
5624180,-0.009182,-0.001653,0.000068
5644191,-0.009196,-0.001588,0.000106
5664187,-0.009208,-0.001585,0.000073
5684187,-0.009241,-0.001486,0.000181
5704180,-0.009273,-0.001401,0.000257
5724219,-0.009378,-0.001393,0.000195
5744183,-0.009502,-0.001260,0.000327
5764237,-0.009502,-0.001260,0.000327
5784222,-0.009668,-0.001119,0.000398
5784237,-0.009668,-0.001119,0.000398
5804201,-0.009745,-0.001090,0.000345
5824211,-0.009828,-0.001067,0.000262
5844224,-0.009930,-0.001116,0.000059
5864212,-0.010036,-0.001166,-0.000134
5884205,-0.010066,-0.001046,-0.000056
5904199,-0.010107,-0.000929,0.000003
5924205,-0.010107,-0.000929,0.000003
5944203,-0.010187,-0.000786,0.000002
5964210,-0.010240,-0.000766,-0.000051
5984207,-0.010289,-0.000697,-0.000018
5984224,-0.010289,-0.000697,-0.000018
6004331,-0.010295,-0.000658,-0.000037
6024207,-0.010241,-0.000623,-0.000039
6044216,-0.010207,-0.000599,-0.000067
6064208,-0.010114,-0.000562,-0.000055
6084201,-0.010051,-0.000534,-0.000090
6104210,-0.010051,-0.000534,-0.000090
6124187,-0.009956,-0.000441,-0.000087
6144204,-0.009921,-0.000398,-0.000091
6164220,-0.009897,-0.000324,-0.000058
6184194,-0.009877,-0.000274,-0.000052
6184213,-0.009877,-0.000274,-0.000052
6204200,-0.009877,-0.000274,-0.000052
6224203,-0.009932,-0.000194,-0.000126
6244218,-0.009932,-0.000194,-0.000126
6264205,-0.009824,-0.000026,-0.000042
6284230,-0.009778,0.000026,-0.000034
6304226,-0.009805,0.000127,0.000017
6324189,-0.009754,0.000185,0.000024
6344204,-0.009791,0.000247,0.000032
6364188,-0.009843,0.000296,0.000009
6384198,-0.009843,0.000296,0.000009
6384209,-0.009843,0.000296,0.000009
6404202,-0.009920,0.000446,0.000028
6424204,-0.009948,0.000516,0.000044
6444270,-0.009948,0.000516,0.000044
6464218,-0.009953,0.000613,0.000010
6484211,-0.009984,0.000709,0.000040
6504241,-0.009984,0.000709,0.000040
6524272,-0.009936,0.000874,0.000095
6544207,-0.009900,0.000904,0.000070
6564227,-0.009900,0.000904,0.000070
6584363,-0.009856,0.001010,0.000064
6584385,-0.009856,0.001010,0.000064
6604198,-0.009852,0.001049,0.000047
6624194,-0.009861,0.001093,0.000016
6644213,-0.009882,0.001146,0.000002
6664217,-0.009890,0.001199,-0.000014
6684204,-0.009878,0.001279,0.000017
6704202,-0.009806,0.001345,0.000068
6724204,-0.009831,0.001444,0.000106
6744223,-0.009883,0.001449,0.000001
6764275,-0.009901,0.001502,-0.000014
6784240,-0.009901,0.001502,-0.000014
6784258,-0.009901,0.001502,-0.000014
6804207,-0.009906,0.001718,0.000087
6824250,-0.009895,0.001814,0.000136
6844197,-0.009917,0.001824,0.000060
6864223,-0.009927,0.001862,0.000030
6884227,-0.009928,0.001953,0.000066
6904203,-0.009927,0.002045,0.000097
6924196,-0.009909,0.002109,0.000101
6944206,-0.009893,0.002189,0.000131
6964229,-0.009892,0.002240,0.000112
6984205,-0.009862,0.002290,0.000115
6984219,-0.009862,0.002290,0.000115
7004202,-0.009772,0.002305,0.000095
7024237,-0.009707,0.002335,0.000082
7044243,-0.009647,0.002362,0.000063
7064244,-0.009588,0.002396,0.000060
7084199,-0.009547,0.002461,0.000061
