TimeUS,PosX,PosY,PosZ,VelX,VelY,VelZ,AccX,AccY,AccZ
344147,-1.451327,-0.018995,2.051569,0.001431,0.034171,0.000304,-0.007827,-0.089130,0.002048
544189,-1.450319,0.103855,2.052867,0.007264,0.517628,0.003162,0.012924,0.909554,0.003712
744170,-1.440982,0.207896,2.052663,0.041150,0.620495,-0.001321,0.064258,0.775592,-0.005858
944213,-1.425087,0.308231,2.052394,0.075007,0.637735,-0.001027,0.092418,0.585223,-0.003189
1144184,-1.403856,0.394829,2.050171,0.107318,0.588848,-0.008119,0.109403,0.381973,-0.011306
1344221,-1.380176,0.477078,2.050351,0.129608,0.537811,-0.004552,0.110122,0.236430,-0.004776
1544247,-1.350174,0.563045,2.050054,0.155951,0.503245,-0.003792,0.114529,0.143930,-0.003121
1744198,-1.316486,0.633435,2.045298,0.179536,0.438313,-0.015337,0.115324,0.041898,-0.014857
1944181,-1.278007,0.707881,2.043595,0.204536,0.408755,-0.013852,0.118231,0.001936,-0.010170
2144187,-1.236712,0.776638,2.040828,0.219827,0.367034,-0.015284,0.107915,-0.045208,-0.009538
2344197,-1.189907,0.847407,2.039568,0.244227,0.355032,-0.011355,0.111564,-0.047141,-0.003065
2544249,-1.132692,0.921802,2.037240,0.283556,0.356698,-0.012115,0.129777,-0.035936,-0.003352
2744219,-1.077330,0.986552,2.038445,0.297769,0.332542,-0.002087,0.116600,-0.054619,0.008467
2944235,-1.018242,1.046967,2.037218,0.312412,0.306006,-0.003725,0.107247,-0.071560,0.004428
3144190,-0.952348,1.106228,2.035868,0.337076,0.289954,-0.004580,0.110481,-0.073639,0.002714
3344173,-0.878794,1.166457,2.038461,0.370562,0.285546,0.005644,0.123018,-0.062573,0.013167
3544392,-0.802034,1.220043,2.039755,0.393565,0.264023,0.007250,0.121184,-0.072530,0.011539
3744185,-0.722376,1.267446,2.041083,0.414280,0.239023,0.008923,0.117725,-0.083563,0.011059
3944188,-0.637921,1.311449,2.040344,0.435514,0.216307,0.003034,0.115117,-0.090083,0.001998
4144189,-0.559920,1.348578,2.041049,0.421937,0.183556,0.002975,0.073755,-0.106697,0.001055
4344191,-0.476329,1.377425,2.034000,0.432725,0.147291,-0.017065,0.071102,-0.122055,-0.019976
4544201,-0.388936,1.407319,2.040530,0.443661,0.131468,0.009193,0.066406,-0.112463,0.013481
4744221,-0.312861,1.424163,2.039096,0.411658,0.086235,0.000746,0.016755,-0.136940,0.000568
4944217,-0.245889,1.437472,2.040488,0.375603,0.057203,0.004844,-0.022663,-0.137529,0.005268
5144402,-0.184327,1.446481,2.040452,0.323594,0.028343,0.002513,-0.072935,-0.137181,0.001498
5344192,-0.094981,1.454362,2.039382,0.386004,0.015565,-0.001114,0.012584,-0.120922,-0.002372
5544169,0.003577,1.456604,2.035224,0.447454,-0.003825,-0.011299,0.076026,-0.115356,-0.011905
5744187,0.096999,1.454261,2.032690,0.469111,-0.026507,-0.016336,0.083527,-0.115979,-0.016595
5944187,0.196926,1.446868,2.036073,0.497223,-0.049625,-0.000117,0.095199,-0.116312,0.004387
6144198,0.285646,1.436268,2.037549,0.478533,-0.068231,0.004527,0.052987,-0.111280,0.008319
6344199,0.374592,1.417474,2.036077,0.466582,-0.099239,-0.001606,0.028202,-0.121130,-0.000577
6544196,0.467083,1.392714,2.035213,0.466381,-0.130494,-0.003501,0.020801,-0.128761,-0.002690
6744179,0.556924,1.364256,2.035861,0.460139,-0.155821,-0.000044,0.009865,-0.128406,0.001695
6944193,0.646867,1.327348,2.033472,0.455161,-0.190416,-0.006559,0.001970,-0.138044,-0.005780
7144241,0.728140,1.289152,2.033468,0.426977,-0.210691,-0.003977,-0.029432,-0.130239,-0.001915
7344220,0.806057,1.245077,2.032274,0.400885,-0.234947,-0.006148,-0.051721,-0.128407,-0.004373
7544240,0.884290,1.197773,2.033986,0.387414,-0.253841,0.001466,-0.055514,-0.120745,0.004779
7744214,0.955782,1.146239,2.032598,0.362586,-0.273172,-0.002299,-0.070371,-0.115404,-0.000131
7944215,1.026842,1.086172,2.030694,0.347147,-0.305105,-0.006990,-0.071948,-0.125407,-0.005636
