TimeUs,SeqID,PosX,PosY,PosZ,Valid
154843,0,-1.452486,-0.046720,2.051264,1
175518,1,-1.452323,-0.037164,2.051268,1
198610,2,-1.453394,-0.032481,2.053085,1
214766,3,-1.451538,-0.027180,2.051355,1
312880,4,-1.451519,-0.020979,2.051642,1
414170,5,-1.454471,-0.007490,2.054453,1
434738,6,-1.453138,0.032566,2.052495,1
456133,7,-1.453800,0.066462,2.055868,1
474305,8,-1.448700,0.087033,2.050937,1
495074,9,-1.450960,0.095966,2.053194,1
517974,10,-1.448692,0.100203,2.050634,1
535414,11,-1.448911,0.111347,2.052983,1
557107,12,-1.449080,0.120497,2.053941,1
579479,13,-1.447399,0.125747,2.053332,1
599254,14,-1.447210,0.135430,2.053148,1
622351,15,-1.451217,0.140379,2.059302,1
641344,16,-1.446226,0.150070,2.054137,1
661775,17,-1.438855,0.159333,2.045038,1
680107,18,-1.445600,0.169753,2.056118,1
701894,19,-1.444169,0.179742,2.055885,1
721067,20,-1.437387,0.188428,2.047555,1
743064,21,-1.439889,0.199372,2.052911,1
762198,22,-1.435885,0.209075,2.049950,1
781962,23,-1.436596,0.217802,2.051889,1
802200,24,-1.433021,0.227745,2.049787,1
823484,25,-1.434589,0.239087,2.053254,1
843642,26,-1.431486,0.247514,2.051385,1
863273,27,-1.424825,0.256326,2.044954,1
883738,28,-1.431977,0.268160,2.057588,1
905185,29,-1.427285,0.276374,2.052547,1
927676,30,-1.425175,0.286022,2.051683,1
945659,31,-1.421936,0.296065,2.050426,1
967854,32,-1.422168,0.305520,2.053695,1
988088,33,-1.417882,0.314721,2.050172,1
1010585,34,-1.415298,0.319756,2.047266,1
1029793,35,-1.418867,0.329978,2.055426,1
1048791,36,-1.415476,0.338784,2.053071,1
1071464,37,-1.412166,0.348609,2.051796,1
1092219,38,-1.409248,0.357786,2.050918,1
1114090,39,-1.406100,0.366920,2.049560,1
1132039,40,-1.402129,0.376102,2.047580,1
1154797,41,-1.402888,0.386333,2.052102,1
1176022,42,-1.398805,0.394679,2.049101,1
1195572,43,-1.396599,0.399903,2.048792,1
1216124,44,-1.397215,0.409855,2.051936,1
1238299,45,-1.394603,0.419136,2.051981,1
1257675,46,-1.393961,0.429032,2.053586,1
1278767,47,-1.389003,0.437277,2.050459,1
1298632,48,-1.386237,0.446341,2.051027,1
1319346,49,-1.383314,0.455634,2.050265,1
1340135,50,-1.378311,0.469705,2.049778,1
1361119,51,-1.378156,0.474880,2.051476,1
1380667,52,-1.374908,0.483995,2.051048,1
1400684,53,-1.370546,0.492583,2.049003,1
1421892,54,-1.368001,0.502228,2.049362,1
1444326,55,-1.362336,0.510478,2.045126,1
1462608,56,-1.364098,0.521355,2.053262,1
1482863,57,-1.361374,0.531422,2.054730,1
1505657,58,-1.352216,0.537698,2.044397,1
1527749,59,-1.352701,0.543012,2.048661,1
1547512,60,-1.350164,0.551268,2.049106,1
1567834,61,-1.346912,0.561321,2.049685,1
1589219,62,-1.343570,0.566013,2.046749,1
1612523,63,-1.337046,0.573155,2.042555,1
1629089,64,-1.339347,0.578617,2.050145,1
1648683,65,-1.330646,0.590930,2.043432,1
1670176,66,-1.327664,0.599986,2.044717,1
1693305,67,-1.327410,0.605732,2.047716,1
1712985,68,-1.322823,0.614239,2.046385,1
1732446,69,-1.317693,0.622867,2.044355,1
1753115,70,-1.317998,0.628599,2.048262,1
1778204,71,-1.312782,0.636214,2.045963,1
1795452,72,-1.307528,0.644915,2.044866,1
1816524,73,-1.304503,0.653968,2.045416,1
1837464,74,-1.299703,0.662394,2.045075,1
1857444,75,-1.295234,0.671042,2.043890,1
1877697,76,-1.291935,0.679362,2.045220,1
1898275,77,-1.286745,0.688087,2.044531,1
1918251,78,-1.281807,0.696452,2.043112,1
1938316,79,-1.277948,0.705299,2.044588,1
1959955,80,-1.272142,0.713189,2.042435,1
1983292,81,-1.270495,0.723619,2.047396,1
2001814,82,-1.264296,0.725639,2.041567,1
2024173,83,-1.266163,0.731921,2.046799,1
2043548,84,-1.258012,0.739038,2.041979,1
2064919,85,-1.255776,0.743869,2.042678,1
2084251,86,-1.251566,0.751555,2.042658,1
2106748,87,-1.244780,0.759378,2.040388,1
2125169,88,-1.243496,0.763917,2.041361,1
2145823,89,-1.238832,0.773014,2.043319,1
2166012,90,-1.231596,0.778862,2.037223,1
2188155,91,-1.228818,0.788484,2.041538,1
2205902,92,-1.222585,0.796106,2.040302,1
2227653,93,-1.218868,0.804390,2.041641,1
2248594,94,-1.213639,0.813125,2.041570,1
2269906,95,-1.207387,0.820631,2.040021,1
2287982,96,-1.203012,0.828939,2.041300,1
2308756,97,-1.197378,0.836199,2.040256,1
2330609,98,-1.191891,0.843977,2.040139,1
2351782,99,-1.184737,0.851471,2.037595,1
2370617,100,-1.181034,0.860334,2.040648,1
2391301,101,-1.174472,0.868257,2.039817,1
2411647,102,-1.167687,0.874912,2.036926,1
2432022,103,-1.163431,0.883864,2.039678,1
2453749,104,-1.157806,0.891350,2.039636,1
2473503,105,-1.150990,0.899161,2.038836,1
2494185,106,-1.144859,0.906129,2.038507,1
2517030,107,-1.141093,0.909683,2.037173,1
2536143,108,-1.133790,0.917172,2.036055,1
2555430,109,-1.130204,0.926029,2.040664,1
2581175,110,-1.123040,0.933440,2.038500,1
2601097,111,-1.117735,0.935139,2.034635,1
2618678,112,-1.115967,0.946123,2.042896,1
2639221,113,-1.105476,0.951272,2.036413,1
2660415,114,-1.099699,0.958736,2.036967,1
2680732,115,-1.098279,0.963342,2.039766,1
2701957,116,-1.091288,0.971129,2.039700,1
2720402,117,-1.084116,0.977460,2.038163,1
2742743,118,-1.079803,0.985501,2.040536,1
2765070,119,-1.069248,0.990619,2.034288,1
2784023,120,-1.067426,0.995821,2.037708,1
2804498,121,-1.060248,1.002101,2.035785,1
2825948,122,-1.054965,1.010296,2.037817,1
2846149,123,-1.048067,1.018629,2.039431,1
2866098,124,-1.042266,1.025429,2.040188,1
2887053,125,-1.038517,1.027927,2.038762,1
2908717,126,-1.030075,1.034037,2.036057,1
2928149,127,-1.022045,1.040092,2.034477,1
2948732,128,-1.017035,1.048937,2.038735,1
2968590,129,-1.009127,1.055010,2.036759,1
2990611,130,-1.002002,1.061833,2.036602,1
3011405,131,-0.994892,1.068309,2.036326,1
3031505,132,-0.986527,1.074146,2.034367,1
3052698,133,-0.983820,1.076854,2.033423,1
3074473,134,-0.975934,1.084592,2.035474,1
3094954,135,-0.970037,1.091209,2.036883,1
3114473,136,-0.963222,1.099192,2.038847,1
3135588,137,-0.954128,1.103150,2.035099,1
3155698,138,-0.947012,1.110220,2.035828,1
3178543,139,-0.941205,1.119142,2.040299,1
3198295,140,-0.931972,1.122744,2.036315,1
3217139,141,-0.925938,1.129865,2.038333,1
3237667,142,-0.919098,1.138698,2.042222,1
3258827,143,-0.904754,1.143359,2.035022,1
3279474,144,-0.900832,1.146420,2.035652,1
3300138,145,-0.895251,1.155145,2.041153,1
3320970,146,-0.887013,1.159909,2.038445,1
3341820,147,-0.879361,1.165899,2.039168,1
3361775,148,-0.872419,1.173084,2.041500,1
3385214,149,-0.863613,1.178069,2.040134,1
3403490,150,-0.859197,1.180281,2.039319,1
3424036,151,-0.847189,1.189266,2.039015,1
3444105,152,-0.843199,1.191308,2.038601,1
3464699,153,-0.831490,1.200564,2.040206,1
3485025,154,-0.822494,1.204170,2.037890,1
3506720,155,-0.813764,1.209349,2.036986,1
3527745,156,-0.811291,1.214206,2.040959,1
3548676,157,-0.802511,1.218515,2.039031,1
3568315,158,-0.792975,1.222452,2.036857,1
3590468,159,-0.785338,1.228848,2.038958,1
3611554,160,-0.776702,1.233559,2.038764,1
3629786,161,-0.769198,1.239095,2.040130,1
3650036,162,-0.760187,1.245396,2.041444,1
3671752,163,-0.752885,1.249910,2.040607,1
3692562,164,-0.744921,1.255401,2.043428,1
3712194,165,-0.736845,1.262008,2.044310,1
3731469,166,-0.725266,1.261462,2.036642,1
3752850,167,-0.717794,1.268919,2.040488,1
3774302,168,-0.709649,1.273098,2.039467,1
3794476,169,-0.699685,1.274828,2.035760,1
3816555,170,-0.693259,1.283567,2.041316,1
3836449,171,-0.686143,1.289679,2.044056,1
3857644,172,-0.674889,1.291059,2.038091,1
