TimeUS,State,Mode
4119,0,1
24186,0,1
44179,0,1
64179,0,1
84179,0,1
104311,0,1
124175,0,1
144175,0,1
164178,0,1
184179,0,1
204181,0,1
224228,0,1
244177,0,1
264175,0,1
284175,0,1
304177,0,1
324185,0,1
344183,0,1
364176,0,1
384208,0,1
404209,0,1
424297,0,1
444184,0,1
464176,0,1
484178,0,1
504187,0,1
524208,0,1
544180,0,1
564340,0,1
584180,0,1
604182,0,1
624188,0,1
644179,0,1
664147,0,1
684175,0,1
704177,0,1
724178,0,1
744176,0,1
764241,0,1
784248,0,1
804179,0,1
824175,0,1
844180,0,1
864178,0,1
884177,0,1
904182,0,1
924192,0,1
944178,0,1
964182,0,1
984183,0,1
1004188,0,1
1024194,0,1
1044181,0,1
1064178,0,1
1084177,0,1
1104181,0,1
1124187,0,1
1144178,0,1
1164179,0,1
1184174,0,1
1204206,0,1
1224186,0,1
1244171,0,1
1264176,0,1
1284289,0,1
1304191,0,1
1324175,0,1
1344177,0,1
1364176,0,1
1384182,0,1
1404190,0,1
1424181,0,1
1444241,0,1
1464222,0,1
1484175,0,1
1504190,0,1
1524187,0,1
1544184,0,1
1564188,0,1
1584178,0,1
1604181,0,1
1624183,0,1
1644178,0,1
1664178,0,1
1684180,0,1
1704184,0,1
1724180,0,1
1744177,0,1
1764177,0,1
1784176,0,1
1804184,0,1
1824177,0,1
1844181,0,1
1864176,0,1
1884177,0,1
1904183,0,1
1924176,0,1
1944176,0,1
1964253,0,1
1984176,0,1
2004185,0,1
2024183,0,1
2044178,0,1
2064181,0,1
2084180,0,1
2104200,0,1
2124181,0,1
2144179,0,1
2164180,0,1
2184182,0,1
2204176,0,1
2224181,0,1
2244185,0,1
2264287,0,1
2284184,0,1
2304180,0,1
2324177,0,1
2344181,0,1
2364177,0,1
2384179,0,1
2404176,0,1
2424189,0,1
2444178,0,1
2464178,0,1
2484177,0,1
2504178,0,1
2524183,0,1
2544180,0,1
2564176,0,1
2584180,0,1
2604182,0,1
2624174,0,1
2644174,0,1
2664211,0,1
2684176,0,1
2704184,0,1
2724178,0,1
2744180,0,1
2764181,0,1
2784174,0,1
2804182,0,1
2824186,0,1
2844188,0,1
2864175,0,1
2884268,0,1
2904186,0,1
2924436,0,1
2944180,0,1
2964179,0,1
2984185,0,1
3004175,0,1
3024175,0,1
3044177,0,1
3064176,0,1
3084175,0,1
3104182,0,1
3124178,0,1
3144175,0,1
3164174,0,1
3184175,0,1
3204179,0,1
3224175,0,1
3244176,0,1
3264176,0,1
3284176,0,1
3304175,0,1
3324176,0,1
3344175,0,1
3364178,0,1
3384177,0,1
3404178,0,1
3424175,0,1
3444177,0,1
3464331,0,1
3484179,0,1
3504191,0,1
3524179,0,1
3544186,0,1
3564174,0,1
3584449,0,1
3604191,0,1
3624176,0,1
3644174,0,1
3664175,0,1
3684175,0,1
3704177,0,1
3724176,0,1
3744177,0,1
3764174,0,1
3784178,0,1
3804196,0,1
3824176,0,1
3844176,0,1
3864178,0,1
3884179,0,1
3904176,0,1
3924181,0,1
3944177,0,1
3964174,0,1
3984180,0,1
4004188,0,1
4024178,0,1
4044178,0,1
4064427,0,1
4084185,0,1
4104186,0,1
4124188,0,1
4144181,0,1
4164176,0,1
4184205,0,1
4204456,0,1
4224586,0,1
4244211,0,1
4264185,0,1
4284177,0,1
4304180,0,1
4324177,0,1
4344178,0,1
4364184,0,1
4384181,0,1
4404180,0,1
4424177,0,1
4444183,0,1
4464184,0,1
4484187,0,1
4504208,0,1
4524185,0,1
4544177,0,1
4564209,0,1
4584180,0,1
4604197,0,1
4624238,0,1
4644197,0,1
4664187,0,1
4684182,0,1
4704182,0,1
4724187,0,1
4744198,0,1
4765215,0,1
4784184,0,1
4804417,0,1
4824178,0,1
4844181,0,1
4864177,0,1
4884607,0,1
4904178,0,1
